OBJID,RA,DEC,NH,ENERGY_SLOPE,ENERGY_SLOPE_ERROR,EXPOSURE_TIME,NUFNU_3000EV,NUFNU_ERROR_3000EV,NUFNU_500EV,NUFNU_ERROR_500EV,UPPER_LIMIT_500EV,NUFNU_1500EV,NUFNU_ERROR_1500EV,UPPER_LIMIT_1500EV,NUFNU_4500EV,NUFNU_ERROR_4500EV,UPPER_LIMIT_4500EV,COUNTRATES_300_10000EV,COUNTRATES_ERROR_300_10000EV,COUNTRATES_300_1000EV,COUNTRATES_ERROR_300_1000EV,UPPER_LIMIT_300_1000EV,COUNTRATES_1000_2000EV,COUNTRATES_ERROR_1000_2000EV,UPPER_LIMIT_1000_2000EV,COUNTRATES_2000_10000EV,COUNTRATES_ERROR_2000_10000EV,UPPER_LIMIT_2000_10000EV,RUNID
2059,30.1194,0.592853,2.26e+20,0.8,-999/-999,10228,5.63367e-14,1.24292e-14,8.14505e-15,6.11055e-15,-999,4.90072e-14,1.8651e-14,-999,1.30927e-13,3.75607e-14,-999,0.00417,0.00092,0.0003475,0.0002607,-999,0.00139,0.000529,-999,0.002432,0.0006977,-999,280_30_0
2060,30.1207,0.47976,2.26e+20,0.8,-999/-999,5700.6,3.9179e-14,1.4861e-14,2.55016e-14,1.4926e-14,-999,3.83596e-14,2.24517e-14,-999,3.90358e-14,2.89848e-14,-999,0.0029,0.0011,0.001088,0.0006368,-999,0.001088,0.0006368,-999,0.0007251,0.0005384,-999,280_30_0
2061,30.606,1.41745,2.29e+20,0.8,-999/-999,1968.3,4.72023e-14,2.164e-14,4.91985e-14,2.94157e-14,-999,0,-5.63599e-11,1.62731e-13,7.51565e-14,5.6152e-14,-999,0.00349,0.0016,0.002094,0.001252,-999,0,-1.598,0.004614,0.001396,0.001043,-999,281_30_1
4189,30.4648,1.4843,2.33e+20,0.8,-999/-999,2814.6,2.69526e-13,4.7404e-14,1.25086e-13,4.32038e-14,-999,1.40438e-13,5.58577e-14,-999,5.71791e-13,1.39071e-13,-999,0.0199,0.0035,0.005307,0.001833,-999,0.00398,0.001583,-999,0.01062,0.002583,-999,491_30_1
2063,30.4439,1.28705,2.29e+20,0.8,-999/-999,713.5,9.81915e-13,1.623e-13,6.82295e-13,1.76212e-13,-999,1.36562e-12,3.17421e-13,-999,2.60571e-13,1.65549e-13,-999,0.0726,0.012,0.02904,0.0075,-999,0.03872,0.009,-999,0.00484,0.003075,-999,281_30_1
2064,30.3538,1.43476,2.34e+20,0.8,-999/-999,1802.3,8.03456e-14,3.38725e-14,5.59507e-14,-5.89228e-11,2.31611e-13,1.04635e-13,6.2675e-14,-999,1.59642e-13,9.56234e-14,-999,0.00593,0.0025,0.002372,-2.498,0.009819,0.002965,0.001776,-999,0.002965,0.001776,-999,281_30_1
2113,57.3812,-0.976071,9.83e+20,0.8,-999/-999,37622,6.82376e-15,2.5149e-15,6.46821e-15,3.64214e-15,-999,5.97633e-15,-5.77584e-12,2.0736e-14,1.3304e-14,6.35782e-15,-999,0.000407,0.00015,0.0001628,9.167e-05,-999,0.000155,-0.1498,0.0005378,0.0002442,0.0001167,-999,284_57_0
2116,57.1486,-0.840316,9.62e+20,0.8,-999/-999,54902.1,5.38958e-15,1.83546e-15,1.40746e-15,1.4557e-15,-999,2.76087e-15,2.03623e-15,-999,1.17257e-14,4.86727e-15,-999,0.000323,0.00011,3.589e-05,3.712e-05,-999,7.178e-05,5.294e-05,-999,0.0002153,8.937e-05,-999,284_57_0
2127,57.1364,-1.04974,9.5e+20,0.8,-999/-999,45658.3,7.67058e-15,2.66224e-15,2.24274e-15,2.17969e-15,-999,6.64092e-15,3.68726e-15,-999,1.25512e-14,6.09862e-15,-999,0.000461,0.00016,5.762e-05,5.6e-05,-999,0.0001729,9.6e-05,-999,0.0002305,0.000112,-999,284_57_0
2129,57.0765,-0.879165,9.47e+20,0.8,-999/-999,45206.3,6.45128e-15,2.49405e-15,4.30846e-15,3.06721e-15,-999,2.12823e-15,2.15204e-15,-999,1.20716e-14,6.01672e-15,-999,0.000388,0.00015,0.0001109,7.895e-05,-999,5.543e-05,5.605e-05,-999,0.0002217,0.0001105,-999,284_57_0
